birthpl,nin,recp,ch71,en71,wsppc,dens71,moldyed,birthlat,birthlong,Schools73new,Schools74new,Schools75new,Schools76new,Schools77new,Schools78new,pop71new,ch71new,totinnew,ninnew,nch71new,atsc71new,en71newish,en71new,nen71new,nen71newish
1101,2.729536056518555,1,66678,.1605596542358398,.5235215425491333,26.35664558410645,7.063102722167969,3.074837562046412,97.4651658372687,18,18,25,25,48,48,234785,66678,182,2.729536056518555,192861,37697,.1605596542358398,.1954620182514191,.80453801,.83944035
1102,2.673723697662354,0,36653,.1799329072237015,,12.3435173034668,7.932509422302246,3.710814012073933,97.5107332563111,5,10,10,10,35,35,122818,36653,105,2.864703893661499,97002,22099,.1799329072237015,.2278200387954712,.77217996,.82006711
1103,2.367048978805542,1,89563,.1820417046546936,.3452166616916656,1168.519287109375,7.285371780395508,4.52998926907761,97.72860733872662,17,17,21,21,68,68,303815,89563,212,2.367048978805542,251584,55307,.1820417046546936,.2198351174592972,.7801649,.8179583
1104,2.062134504318237,0,29581,.2307340800762177,1.339499115943909,18.19871711730957,7.391823291778564,4.593358348803827,96.91847978987418,3,5,6,6,17,17,105043,29581,54,1.825496077537537,85559,24237,.2307340800762177,.2832781970500946,.71672177,.76926589
1105,2.455086708068848,1,60283,.1904926896095276,.5785679221153259,18.62884712219238,6.550590038299561,4.212281138571218,96.0988972392353,19,19,26,26,29,29,225111,60283,148,2.455086946487427,187504,42882,.1904926896095276,.228699117898941,.77130091,.80950731
1106,2.386285066604614,0,47773,.1919021308422089,.6497544050216675,67.68466186523438,7.842760562896729,5.380690592557623,95.51675366704626,14,14,17,17,26,26,181801,47773,114,2.386285305023193,153021,34888,.1919021308422089,.2279948443174362,.77200514,.80809784
1107,2.645250082015991,1,73339,.1597221493721008,.5429980754852295,70.52812194824219,8.257566452026367,5.076191757853693,96.07061676181037,23,23,26,26,48,48,293397,73339,194,2.645250082015991,246813,46862,.1597221493721008,.1898684501647949,.81013155,.84027785
1108,2.400765657424927,1,129542,.1803251504898071,.4067706763744354,92.92579650878906,7.321183681488037,5.059077048655611,96.93956401696219,32,25,46,46,81,81,470855,129542,311,2.400765657424927,394081,84907,.1803251504898071,.2154557108879089,.78454429,.81967485
1171,4.267844200134277,0,13590,.3397741615772247,.6385182738304138,879.8032836914063,10.72823619842529,5.546841993267093,95.34053210141043,2,2,10,10,17,17,53668,13590,58,4.267843723297119,44927,18235,.3397741615772247,.4058806598186493,.59411931,.66022587
1172,5.001136779785156,0,4399,.1821843981742859,2.083290815353394,148.1092376708984,10.24492931365967,5.839514263453162,95.28834256251433,2,2,3,3,6,6,17625,4399,22,5.001136779785156,14864,3211,.1821843981742859,.2160252928733826,.78397471,.8178156
1201,2.879837274551392,1,106256,.1196618378162384,.4738927781581879,70.04193115234375,5.941613674163818,.7729207209048984,97.78704648065565,13,13,42,42,98,98,372483,106256,306,2.879837274551392,312951,44572,.1196618378162384,.1424248516559601,.85757518,.88033819
1202,2.156593799591064,1,191042,.2297828644514084,.3860680162906647,33.17621994018555,7.94448709487915,1.193179960737077,99.5285952824441,17,17,80,80,110,110,626931,191042,414,2.167062759399414,522629,144058,.2297828644514084,.2756410241127014,.72435898,.77021712
1203,6.313769340515137,1,39596,.1570622026920319,.5852771401405334,62.09186553955078,7.556022167205811,1.83092762736289,98.66560276560526,4,4,18,18,41,41,135857,39596,126,3.18213963508606,110606,21338,.1570622026920319,.1929190158843994,.80708098,.84293783
1204,1.643479347229004,0,192275,.2487594783306122,.4714624881744385,58.79585266113281,10.01990604400635,2.224205440532015,98.93063697817904,27,27,79,79,113,113,623530,192275,438,2.277987241744995,505524,155109,.2487594783306122,.3068281710147858,.69317186,.75124049
1205,2.520133495330811,1,109518,.1355507224798203,.4853187501430511,38.63059234619141,7.474973678588867,2.17661615744596,99.97381650152882,12,12,46,46,80,80,360153,109518,276,2.52013373374939,292185,48819,.1355507224798203,.1670825034379959,.83291751,.86444926
